Citizenship,Stream,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Ethiopia,Skill,6,7,6,1,7,14,14,22,2,21,15,18,36,16,38,27
Europe (so stated),Skill,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Faeroe Islands,Skill,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fed. States of Micronesia,Skill,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Fiji,Skill,731,784,782,795,1214,853,1038,884,858,977,739,871,809,553,688,676
Finland,Skill,28,24,6,6,43,20,22,26,40,46,61,58,58,55,67,78
Fmr Yugo Rep of Macedonia,Skill,113,149,133,59,108,109,84,72,35,42,25,48,30,44,30,60
France,Skill,220,148,156,156,202,242,342,329,355,372,368,496,554,623,764,883
French Polynesia,Skill,0,0,6,0,1,0,1,2,0,3,2,0,0,0,0,0
Gabon,Skill,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Gambia,Skill,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Gaza Strip,Skill,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0
Georgia,Skill,11,7,3,14,7,2,3,1,5,2,10,3,7,9,0,5
"Germany, Federal Rep. Of",Skill,471,388,416,475,528,654,641,614,737,840,885,997,1228,1227,1146,1148
Ghana,Skill,31,21,13,20,25,28,34,25,29,48,41,51,74,81,80,78
Greece,Skill,27,32,17,3,24,32,22,20,29,34,24,30,35,26,14,39
Grenada,Skill,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2
Guatemala,Skill,1,1,0,0,0,4,1,1,1,2,1,6,9,4,6,3
Guinea,Skill,0,0,1,0,1,0,0,3,0,0,0,2,0,1,1,6
Guyana,Skill,2,0,0,0,1,1,0,0,5,2,1,0,3,0,1,3
Honduras,Skill,3,1,5,0,0,-1,3,0,1,0,1,5,0,1,1,0
Hong Kong (SAR of China),Skill,2830,2816,1473,955,1106,916,1364,1532,1904,1939,1515,1314,918,499,631,471
Hungary,Skill,44,18,24,23,50,30,52,70,75,77,126,133,176,211,186,275
Iceland,Skill,2,0,1,1,5,1,1,1,1,7,6,6,9,1,4,8
India,Skill,2098,2164,2274,4068,4675,6056,8203,9237,9820,14027,15865,19281,20105,18042,17331,23512
Indo-China (so stated),Skill,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Skill,1272,1630,2274,2759,3836,4410,3147,2544,1938,1650,1473,1811,1425,982,1621,1240
Iran,Skill,193,174,114,209,204,150,217,161,265,367,453,647,1711,1640,1813,2774
Iraq,Skill,60,31,29,28,44,12,36,55,54,41,30,46,136,121,110,99
Irish Republic,Skill,719,682,633,562,521,601,741,851,1000,1194,1270,1389,1799,2219,2934,4109
Israel,Skill,69,96,75,75,106,203,251,441,408,349,314,363,350,396,292,282
Italy,Skill,92,100,111,90,144,227,136,181,171,211,218,291,398,341,503,508
Jamaica,Skill,1,7,0,10,5,3,0,1,9,5,2,4,6,3,2,8
Japan,Skill,364,396,363,267,444,549,613,752,878,1004,1038,939,869,641,674,792
Jordan,Skill,226,112,93,101,152,72,133,182,211,178,108,151,186,155,117,181
Kazakhstan,Skill,35,13,18,36,16,5,10,26,24,27,28,54,53,32,23,55
Kenya,Skill,55,174,148,140,179,314,313,364,319,353,339,335,334,244,352,430
Kiribati,Skill,1,0,1,0,0,0,4,0,0,0,1,0,6,11,0,0
"Korea, Dem Peoples Rep Of",Skill,1,0,0,0,2,5,16,8,2,5,6,6,6,4,2,2
"Korea, Republic of",Skill,298,389,396,413,760,1292,1357,1975,2668,3288,3105,4331,3807,3150,3282,3670
Kosovar,Skill,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3
Kuwait,Skill,2,1,2,4,5,3,2,11,3,4,4,4,8,2,2,3
Kyrgyzstan,Skill,0,10,0,4,7,3,10,16,14,18,9,16,12,8,5,19
Lao Peoples Democratic Rep,Skill,5,1,1,2,4,1,6,7,8,6,5,16,7,7,10,16
Latvia,Skill,4,0,5,0,3,4,12,13,20,10,9,23,23,28,20,31
Lebanon,Skill,113,147,84,75,107,78,105,161,164,200,166,231,334,161,174,278
Lesotho,Skill,0,0,0,0,0,3,0,0,0,2,0,2,0,3,6,0
Liberia,Skill,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Libya,Skill,0,2,2,5,2,1,1,0,0,2,5,5,13,6,3,3
Liechtenstein,Skill,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0
Lithuania,Skill,5,3,7,5,15,13,7,10,16,10,9,14,15,29,21,44
Luxembourg,Skill,0,0,0,0,0,0,0,0,0,3,0,5,0,6,0,5
Macau Spec Admin Rgn,Skill,0,1,2,28,19,33,29,29,16,42,29,28,26,11,17,5
Madagascar,Skill,0,0,0,1,0,0,1,0,0,0,2,1,1,0,0,1
Malawi,Skill,2,2,1,1,0,1,11,11,2,11,25,5,16,9,17,22
Malaysia,Skill,704,679,1129,1446,2148,2055,4236,3611,3782,4172,3838,4185,4089,4277,4192,4617
Maldives,Skill,0,0,4,0,8,4,3,8,24,19,17,33,15,34,18,22
Mali,Skill,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Malta,Skill,5,14,10,4,7,6,45,20,38,32,77,48,21,29,21,25
Marshall Islands,Skill,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Skill,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
Mauritius,Skill,43,47,69,80,79,162,202,265,324,428,434,561,625,386,658,728
Mayotte,Skill,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mexico,Skill,21,19,12,10,24,15,22,40,69,121,131,218,179,205,139,220
Moldova,Skill,14,11,0,8,10,12,20,19,11,9,13,18,12,11,12,29
Monaco,Skill,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mongolia,Skill,0,0,0,0,3,3,11,8,7,5,17,17,24,16,13,34
Montenegro,Skill,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
Morocco,Skill,4,6,4,9,3,4,4,2,7,5,5,1,11,7,5,14
Mozambique,Skill,1,9,0,0,5,1,2,4,7,0,4,0,8,13,5,8
Myanmar,Skill,17,25,14,7,38,90,68,76,119,115,96,137,223,204,182,246
Namibia,Skill,5,5,13,15,8,23,45,24,27,20,12,16,21,38,21,14
Nauru,Skill,0,0,4,0,2,8,0,5,10,0,0,0,0,0,1,8
Nepal,Skill,30,53,37,93,156,306,339,380,421,459,496,672,724,1014,1784,2069
Netherlands,Skill,217,179,243,276,297,306,382,406,435,543,596,671,598,557,470,579
Netherlands Antilles,Skill,2,0,0,1,3,0,1,0,1,0,1,1,0,1,1,0
New Caledonia,Skill,0,0,0,4,1,2,0,2,1,2,0,4,6,0,1,0
Nicaragua,Skill,0,0,0,0,0,0,0,0,0,2,1,0,1,1,2,3
Niger,Skill,0,0,0,10,1,0,0,3,1,6,1,2,0,0,0,0
Nigeria,Skill,28,60,34,37,64,81,63,133,113,61,148,170,225,243,204,271
North Africa (so stated),Skill,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands,Skill,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Norway,Skill,19,15,15,11,8,33,72,43,65,74,67,52,66,46,45,39
Oman,Skill,0,2,7,1,0,0,1,0,8,7,8,8,10,0,5,3
Pakistan,Skill,319,313,364,578,747,750,702,890,1042,1156,952,1120,1344,1089,1385,3325
Palestinian Authority,Skill,0,0,7,1,10,24,19,22,29,31,22,23,30,18,23,46
Panama,Skill,1,3,3,0,0,0,0,1,5,0,2,1,2,2,1,0
Papua New Guinea,Skill,25,18,26,12,58,40,53,50,59,118,138,174,273,383,391,373
Paraguay,Skill,1,0,0,0,6,1,1,1,6,8,2,2,7,6,1,3
People's Republic of China,Skill,2065,1890,2547,2417,3713,4963,5628,8741,8953,12672,14688,14924,13927,14505,20441,15759
Peru,Skill,55,26,29,17,22,34,39,51,95,203,166,159,201,153,186,164
Philippines,Skill,902,766,1358,1228,1376,1352,1476,2136,2369,3184,3182,3860,5789,6832,7849,9057
Poland,Skill,198,128,92,68,66,60,63,123,213,249,259,262,253,242,261,329
Portugal,Skill,138,97,83,45,53,60,63,66,93,86,71,104,106,120,152,190
Puerto Rico,Skill,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Qatar,Skill,0,5,0,0,1,3,1,1,0,1,4,2,5,0,0,0
Refugee,Skill,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Reunion,Skill,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0
Romania,Skill,171,171,194,140,159,135,122,139,137,130,174,160,124,134,139,199
Russian Federation,Skill,328,136,223,135,269,306,276,344,465,456,326,558,683,702,523,860
Rwanda,Skill,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0
Samoa,Skill,4,0,15,3,8,1,6,10,3,5,1,13,27,4,1,11
San Marino,Skill,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sao Tome & Principe,Skill,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Saudi Arabia,Skill,2,10,2,1,1,1,3,4,1,11,3,11,10,17,11,10
Senegal,Skill,0,2,1,2,0,1,0,1,0,0,0,1,0,0,2,1
Serbia,Skill,0,0,0,0,0,0,0,0,0,0,0,29,36,94,88,89
Serbia and Montenegro,Skill,0,0,0,0,0,0,0,7,26,27,69,23,29,9,6,0
Seychelles,Skill,1,10,0,12,1,25,26,29,12,29,16,25,25,44,27,36
Sierra Leone,Skill,6,0,4,0,2,0,0,0,0,1,8,1,5,8,0,1
Singapore,Skill,761,640,623,729,1488,1807,2308,2969,3189,3128,1877,1869,1635,1369,1172,1429
Slovakia,Skill,50,37,24,18,39,51,59,75,108,72,104,74,72,69,80,77
Slovenia,Skill,18,13,3,1,8,17,9,13,15,23,44,56,36,42,32,67
Solomon Islands,Skill,4,22,1,14,9,15,33,14,35,3,16,13,36,25,15,18
Somalia,Skill,3,8,10,0,1,0,0,0,0,11,9,0,0,5,0,3
"South Africa, Republic of",Skill,3081,5245,5735,4663,6199,6371,6538,5371,3789,3895,4293,6556,10485,9855,7595,6724
South America (so stated),Skill,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0
Southeast Asia (so stated),Skill,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Skill,24,12,10,6,24,22,26,35,41,26,71,69,94,94,129,140
Sri Lanka,Skill,707,596,415,664,1035,1648,1368,1376,2100,2645,2606,3558,3531,4049,3846,4755
St Kitts-Nevis,Skill,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
St Lucia,Skill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
St Vincent & the Grenadines,Skill,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Stateless,Skill,479,65,74,39,58,21,19,11,20,47,13,8,9,4,2,10
Sudan,Skill,17,1,16,2,10,5,7,9,1,9,2,4,6,27,27,11
Suriname,Skill,1,0,0,0,0,2,0,2,0,0,0,3,2,2,3,0
Swaziland,Skill,0,0,2,1,0,0,0,1,5,0,5,5,10,0,0,0
Sweden,Skill,53,30,54,36,56,126,122,110,141,124,107,165,207,168,150,170
Switzerland,Skill,197,118,126,122,136,184,127,171,139,136,144,158,127,149,117,138
Syria,Skill,39,31,22,31,34,29,20,29,42,47,52,39,47,21,37,35
Tadjikistan,Skill,0,1,0,0,0,4,1,0,0,0,0,0,1,7,3,3
Taiwan,Skill,1712,1359,1221,1153,1481,1299,1111,824,650,710,678,633,375,386,402,293
Tanzania,Skill,4,4,3,7,14,20,12,19,11,21,21,18,30,28,35,28
Thailand,Skill,61,48,59,53,163,414,304,464,475,508,634,747,462,305,449,549
Tonga,Skill,20,13,15,23,19,10,20,16,13,25,20,41,23,17,11,22
Trinidad and Tobago,Skill,2,26,0,2,6,7,3,14,8,3,11,7,7,18,13,24
Tunisia,Skill,5,8,2,0,3,0,0,0,0,4,0,3,1,1,4,5
Turkey,Skill,133,165,63,62,60,91,142,172,116,109,89,137,184,91,237,151
Turkmenistan,Skill,0,0,0,4,0,0,0,1,4,2,1,0,0,2,0,1
Tuvalu,Skill,0,0,0,8,4,0,0,0,4,0,0,0,0,16,0,0
U.S.S.R.,Skill,86,32,39,57,12,24,21,27,9,5,5,1,15,0,0,0
Uganda,Skill,7,0,1,3,4,6,10,13,22,9,13,20,16,7,22,22
Ukraine,Skill,247,122,156,89,100,113,107,139,131,134,138,138,148,189,156,214
UN Convention Refugee,Skill,4,0,1,3,0,1,3,0,0,0,-2,0,0,0,0,0
United Arab Emirates,Skill,0,2,5,1,1,6,3,32,6,17,21,18,33,2,2,3
United Kingdom,Skill,7803,8202,7722,6062,6600,9052,15910,15153,19235,25119,24800,23155,23177,18487,18091,19463
United Nations Organisation,Skill,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
United States of America,Skill,966,731,568,531,733,780,776,978,1055,1153,906,1098,1149,1203,1101,1444
Unknown,Skill,366,24,15,1240,263,282,178,111,547,1822,762,319,234,9,11,18
Uruguay,Skill,4,9,2,0,4,8,4,19,16,20,12,11,12,14,11,8
Uzbekistan,Skill,25,12,9,24,3,21,19,20,29,18,23,32,26,33,31,36
Vanuatu,Skill,2,0,5,7,4,5,6,7,7,0,6,0,5,3,1,3
Vatican City,Skill,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Venezuela,Skill,102,48,9,14,32,49,48,52,138,188,164,265,269,357,223,303
Vietnam,Skill,111,48,45,54,140,229,258,366,504,508,434,556,562,676,1383,1068
Yemen,Skill,19,8,1,0,8,9,1,2,1,0,2,8,4,3,4,13
"Yugoslavia, Fed Republic of",Skill,159,133,137,112,146,165,85,67,74,61,70,66,75,38,9,12
Zambia,Skill,15,9,2,5,9,49,26,44,31,50,52,74,71,115,128,141
Zimbabwe,Skill,48,59,152,295,499,894,1131,1241,935,1004,1120,1172,1477,1560,1265,852
Afghanistan,Special Eligibility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Albania,Special Eligibility,5,0,0,0,0,0,0,0,0,2,2,0,8,5,10,11
Algeria,Special Eligibility,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Antigua and Barbuda,Special Eligibility,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Argentina,Special Eligibility,3,7,2,0,1,6,6,0,8,0,0,0,5,0,0,0
Austria,Special Eligibility,6,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0
Bahrain,Special Eligibility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Bangladesh,Special Eligibility,15,8,6,4,0,5,1,2,2,3,0,0,6,43,25,5
Belgium,Special Eligibility,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,Special Eligibility,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1
Bosnia-Herzegovina,Special Eligibility,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Brazil,Special Eligibility,5,1,0,0,0,1,0,0,0,0,0,0,4,0,1,5
"Cambodia, the Kingdom of",Special Eligibility,0,2,0,0,2,0,1,1,3,0,0,0,0,5,0,0
Cameroon,Special Eligibility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Canada,Special Eligibility,8,6,14,4,0,5,6,3,2,1,5,0,1,0,0,5
Chile,Special Eligibility,2,1,0,5,2,5,1,1,0,0,1,1,0,2,4,2
Colombia,Special Eligibility,0,4,0,0,0,2,4,4,2,2,3,0,0,4,4,7
Congo,Special Eligibility,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cote d'Ivoire,Special Eligibility,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Croatia,Special Eligibility,2,0,11,1,1,1,13,2,5,0,0,0,0,0,0,0
Cuba,Special Eligibility,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Cyprus,Special Eligibility,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
Czech Republic,Special Eligibility,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dem Republic Of Timor-Leste,Special Eligibility,0,0,0,0,1,9,77,24,0,0,0,0,1,6,1,0
Democratic Republic of Congo,Special Eligibility,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,Special Eligibility,1,0,3,1,4,0,1,0,0,1,0,0,0,0,0,0
Dominican Republic,Special Eligibility,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ecuador,Special Eligibility,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
"Egypt, Arab Republic of",Special Eligibility,2,1,0,0,0,5,1,0,0,2,0,0,2,2,10,17
El Salvador,Special Eligibility,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
Eritrea,Special Eligibility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ethiopia,Special Eligibility,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,8
Fiji,Special Eligibility,407,321,207,48,35,39,38,32,13,21,21,12,10,46,44,50
Finland,Special Eligibility,0,1,4,0,0,0,0,2,2,4,0,0,0,0,0,0
Fmr Yugo Rep of Macedonia,Special Eligibility,0,1,11,10,14,21,13,7,8,0,0,2,1,0,9,4
France,Special Eligibility,4,9,2,4,1,1,0,2,0,0,6,0,0,1,0,0
Gambia,Special Eligibility,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Germany, Federal Rep. Of",Special Eligibility,6,1,3,5,3,1,8,2,11,6,2,6,1,11,2,7
Ghana,Special Eligibility,4,8,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Greece,Special Eligibility,4,0,8,0,3,4,1,2,1,0,0,3,1,0,1,0
Guinea,Special Eligibility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Guyana,Special Eligibility,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,Special Eligibility,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hong Kong (SAR of China),Special Eligibility,25,10,6,7,6,8,7,3,3,2,0,1,1,2,1,2
Hungary,Special Eligibility,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Iceland,Special Eligibility,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Special Eligibility,42,17,8,3,3,8,9,12,4,11,6,2,1,19,11,17
Indonesia,Special Eligibility,67,66,58,20,32,33,136,59,23,18,9,4,5,61,48,29
Iran,Special Eligibility,0,1,0,0,1,2,4,1,1,2,0,2,0,6,2,9
Iraq,Special Eligibility,0,0,1,2,1,1,0,0,0,0,0,1,0,0,2,0
Irish Republic,Special Eligibility,14,3,7,2,5,1,12,0,0,0,2,1,1,0,0,1
Israel,Special Eligibility,3,0,0,0,1,4,1,2,0,0,1,0,0,1,0,1
Italy,Special Eligibility,18,5,17,7,13,3,7,6,11,1,3,16,3,6,3,2
Japan,Special Eligibility,3,4,0,7,2,6,1,5,0,2,0,0,0,0,0,1
Jordan,Special Eligibility,1,0,1,0,1,0,2,0,0,0,0,0,0,0,1,1
Kazakhstan,Special Eligibility,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3
Kenya,Special Eligibility,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,7
Kiribati,Special Eligibility,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Korea, Dem Peoples Rep Of",Special Eligibility,0,0,2,0,0,0,4,1,0,0,1,0,0,0,1,0
"Korea, Republic of",Special Eligibility,239,161,77,21,20,57,175,123,33,42,19,12,9,23,28,96
Kuwait,Special Eligibility,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Rep,Special Eligibility,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
Latvia,Special Eligibility,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0
Lebanon,Special Eligibility,21,14,12,27,30,40,9,4,3,4,2,0,0,8,3,7
Lithuania,Special Eligibility,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
Macau Spec Admin Rgn,Special Eligibility,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Malawi,Special Eligibility,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Malaysia,Special Eligibility,23,9,1,4,10,0,1,1,1,0,0,0,2,3,5,5
Malta,Special Eligibility,4,2,7,0,3,2,3,1,5,0,5,1,0,0,4,1
Mauritius,Special Eligibility,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,8
Mexico,Special Eligibility,0,2,0,0,0,3,0,1,0,0,1,0,0,0,1,1
Mongolia,Special Eligibility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Morocco,Special Eligibility,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
Myanmar,Special Eligibility,2,0,0,0,0,3,0,2,1,1,0,0,1,3,5,7
Nauru,Special Eligibility,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
Nepal,Special Eligibility,0,0,1,0,0,1,0,1,0,1,0,0,0,7,1,4
Netherlands,Special Eligibility,13,8,6,6,10,1,11,4,10,1,2,1,5,0,1,3
New Caledonia,Special Eligibility,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,Special Eligibility,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Nigeria,Special Eligibility,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0
Norway,Special Eligibility,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0
Pakistan,Special Eligibility,24,32,7,2,0,3,1,4,2,0,1,1,1,12,2,5
Palestinian Authority,Special Eligibility,0,0,0,0,0,8,0,0,0,0,0,0,0,1,1,3
Papua New Guinea,Special Eligibility,4,9,7,0,1,0,6,1,0,1,0,5,0,0,5,2
People's Republic of China,Special Eligibility,5,4,21,2006,1700,705,285,229,56,28,4,8,3,45,29,47
Peru,Special Eligibility,2,0,0,0,0,1,0,0,2,0,0,0,0,4,1,0
Philippines,Special Eligibility,40,31,23,10,14,5,21,8,10,6,0,6,1,21,13,17
Poland,Special Eligibility,2,0,4,0,0,0,1,1,2,2,1,0,0,2,1,2
Portugal,Special Eligibility,0,3,2,1,0,1,6,1,0,2,0,0,3,0,1,0
Romania,Special Eligibility,0,0,0,0,3,2,1,1,0,0,0,0,0,0,6,0
Russian Federation,Special Eligibility,0,0,0,0,0,0,3,1,1,2,0,0,0,3,1,4
Samoa,Special Eligibility,12,5,7,0,3,1,6,0,6,0,0,0,0,2,1,1
Serbia,Special Eligibility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Sierra Leone,Special Eligibility,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Singapore,Special Eligibility,5,3,4,0,2,0,0,2,0,1,0,3,0,2,0,3
Slovakia,Special Eligibility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Slovenia,Special Eligibility,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,Special Eligibility,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Somalia,Special Eligibility,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3
"South Africa, Republic of",Special Eligibility,18,6,12,5,1,2,2,7,0,1,2,0,4,6,15,17
Spain,Special Eligibility,2,0,0,1,9,0,1,1,1,2,2,3,0,2,4,0
Sri Lanka,Special Eligibility,0,5,22,122,143,150,85,103,34,13,7,2,12,33,13,28
Stateless,Special Eligibility,1,4,0,1,1,0,3,2,2,3,0,0,0,4,1,3
Sudan,Special Eligibility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sweden,Special Eligibility,13,2,3,0,0,0,4,4,0,0,0,0,0,0,0,4
Switzerland,Special Eligibility,6,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0
Syria,Special Eligibility,6,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
Taiwan,Special Eligibility,10,5,8,2,3,2,1,0,3,0,0,0,1,1,2,1
Tanzania,Special Eligibility,0,0,0,0,4,0,2,0,0,0,0,0,0,1,0,0
Thailand,Special Eligibility,13,4,0,4,0,4,4,0,4,2,0,0,3,6,1,10
Tonga,Special Eligibility,285,108,102,4,16,23,14,31,13,22,7,16,6,26,19,14
Turkey,Special Eligibility,13,12,8,14,7,4,4,15,4,3,4,3,0,19,11,6
Tuvalu,Special Eligibility,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
U.S.S.R.,Special Eligibility,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
Uganda,Special Eligibility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Ukraine,Special Eligibility,0,0,0,0,1,2,2,0,1,1,0,0,0,0,0,1
United Arab Emirates,Special Eligibility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,Special Eligibility,246,165,120,61,118,156,145,117,126,74,61,97,52,22,34,65
United States of America,Special Eligibility,34,23,14,13,15,5,3,7,14,9,15,5,2,8,3,15
Unknown,Special Eligibility,10,10,2,385,134,10,5,7,4,1,1,2,7,0,0,1
Uruguay,Special Eligibility,2,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0
Vanuatu,Special Eligibility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Vietnam,Special Eligibility,2,0,1,1,2,0,5,2,2,1,2,0,0,1,3,20
"Yugoslavia, Fed Republic of",Special Eligibility,15,2,34,37,21,92,50,21,10,3,0,0,3,1,0,1
Zambia,Special Eligibility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zimbabwe,Special Eligibility,6,0,0,0,0,2,0,3,0,0,0,0,0,0,13,4