,migration_family,migration_skill,migration_special_eligibility,offshore_refugee_intake,offshore_shp_intake,offshore_special_assistance_intake,onshore_refugee_intake,natural_increase,boats,boat_passengers,asylum_requests_non_ima,asylum_requests_ima,asylum_requests_total,grants_non_ima,refusals_non_ima,grant_rate_non_ima,grants_ima,refusals_ima,grant_rate_ima
1975,,,,,,,,,1,5,,,,,,,,,
1976,,,,,,,,,7,204,,,,,,,,,
1977,,,,9326,0,0,0,,43,1423,,,,,,,,,
1978,,,,12750,700,0,0,,6,351,,,,,,,,,
1979,,,,17677,2277,0,0,,2,56,,,,,,,,,
1980,,,,20795,1675,0,75,,1,30,,,,,,,,,
1981,,,,20195,1722,0,0,126100,0,0,,,,,,,,,
1982,,,,16193,861,0,0,128800,0,0,,,,,,,,,
1983,42600,9800,200,12426,3059,0,0,129600,0,0,,,,,,,,,
1984,44200,10100,200,9520,4687,0,0,127700,0,0,,,,,,,,,
1985,63400,16200,400,7832,3868,0,0,123000,0,0,,,,,,,,,
1986,72600,28500,600,5857,5434,0,0,126800,0,0,,,,,,,,,
1987,79500,42000,600,5514,5878,0,0,125700,0,0,,,,,,,,,
1988,72700,51200,800,3574,7735,0,0,131500,0,0,,,,,,,,,
1989,66600,52700,900,1238,10451,0,726,132400,3,224,,,,,,,,,
1990,61300,49800,1200,1497,8287,0,1500,141500,5,158,,,,,,,,,
1991,55900,41400,1700,2424,4360,2363,2862,138400,3,78,,,,,,,,,
1992,45300,21300,1400,2893,2392,5657,903,138500,4,194,,,,,,,,,
1993,43200,18300,1300,4315,2524,5840,1391,134900,6,194,,,,,,,,,
1994,44500,30400,1600,3992,3675,5545,1646,132000,21,1071,,,,,,,,,
1995,56700,24100,1700,4643,3499,6910,1200,124000,14,589,,,,,,,,,
1996,37176,34676,1735,3334,2470,3848,2250,126100,13,365,,,,,,,,,
1997,31281,34446,1113,4010,4636,1821,1588,120000,13,157,,,,,,,,,
1998,32038,34895,888,3988,4348,1190,1830,121700,42,921,,,,,,,,,
1999,32017,35352,2868,3802,3051,649,2458,121000,75,4175,,,,,,,,,
2000,33461,44721,2415,3997,3116,879,5741,118500,54,4137,,,,,,,,,
2001,38082,53507,1465,4105,4197,40,3974,117100,19,3039,,,,,,,,,
2002,40794,66053,1225,3996,7212,0,911,114500,0,0,4960,60,5020,,,,,,
2003,42229,71243,890,3851,8912,0,784,116000,3,82,3485,87,3572,,,,,,
2004,41736,77878,450,5289,6684,0,952,124500,0,0,3062,146,3208,,,,,,
2005,45291,97336,306,5699,6739,0,1247,129600,8,61,3191,101,3292,,,,,,
2006,50079,97922,199,5924,5157,0,1707,141600,4,133,3723,23,3746,1692,2651,39%,,,
2007,49870,108540,220,5951,4721,0,1932,148700,3,25,3987,21,4008,1898,2107,47.4%,,,
2008,56366,114777,175,6446,4471,0,2495,153400,23,985,5072,668,5762,2173,2618,45.3%,209,0,100%
2009,60254,107868,501,5988,3234,0,4535,149700,117,5327,5986,4579,10565,2365,2271,51%,2151,28,98.7%
2010,54543,113725,417,5998,2973,0,4828,150500,89,4730,6337,5174,11511,2101,2739,43.4%,2719,190,93.5%
2011,58604,125755,639,6004,714,0,7041,151300,110,7983,7036,7379,14415,2272,2887,44%,4766,474,91%